company_id,jobview_url,Position(Company),Description
634881031,https://www.linkedin.com/jobs/view/634881031/,Assistant Manager - Valuations,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
634880404,https://www.linkedin.com/jobs/view/634880404/,KGS - Tax- Consultant/Associate Consultant- Sharepoint,"Experience in SharePoint Client Object model, JavaScript and Rest APIExperience and Background. Experience as a SharePoint Developer and delivery of Web-based applications. 3-7 ..."
634880366,https://www.linkedin.com/jobs/view/634880366/,Assistant Manager,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
634880349,https://www.linkedin.com/jobs/view/634880349/,Consultant _ VBA Excel,"Four to Six years of experience in Accounting/Finance/Information Technology (IT) of which last 2-3 years should be in Alteryx Automations, MS Excel/ Access based models and ..."
634880348,https://www.linkedin.com/jobs/view/634880348/,Consultant/Associate Consultant - RPA,"Hands on experience in requirement gathering, analysing, developing and testing a product/data model/project. Experience in installing and configuring automation environment. ..."
634880345,https://www.linkedin.com/jobs/view/634880345/,KGS-RC-Executive | General Insurance | Non Life,Assist with Solvency II Technical provisions actuarial reviews for PRA submission requirements. Strong analytical and problem-solving skills with attention to details. 1-5years ...
634880320,https://www.linkedin.com/jobs/view/634880320/,Assistant Manager - L&D,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
634879936,https://www.linkedin.com/jobs/view/634879936/,KGS-MC-Consultant-EPM,Strong team leadership skills and with experience offshore delivery with a multi-disciplined team. 4-8 years of relevant EPM advisory experience with consulting companies or for...
634879889,https://www.linkedin.com/jobs/view/634879889/,Assistant Manager-Ktech Lead,Strong inter-personal skills and ability to work with teams in different parts of the world. Extensive hands on Application development experience with Microsoft SQL Server. ...
634879707,https://www.linkedin.com/jobs/view/634879707/,Associate Consultant / Consultant- QlikSense,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
634879617,https://www.linkedin.com/jobs/view/634879617/,Assistant Manager | HR Business Partner,"The candidate must have minimum 5 years of relevant experience in a similar role. Support cultural changes across the business unit through a variety of different methods, ..."
634878975,https://www.linkedin.com/jobs/view/634878975/,Manager- Data Modelling,"Experience with PowerPivot and other data organization / presentation software such as Alteryx, Tableau and Qlikview is also desirable. Twelve to Fifteen years of experience in ..."
864680659,https://www.linkedin.com/jobs/view/864680659/,KGS:: TAX Associate:: Bangalore::,Work on multiple client engagements to collect date and update the compliance management systems for indirect tax. Researching state and local indirect tax legislation and ...
848936382,https://www.linkedin.com/jobs/view/848936382/,GDC Senior Associate|Oracle|D&A,Audit D&amp;A Solution Delivery &#x2013; Be a part of the team that is responsible for Audit D&amp;A service delivery and ensure timely and quality audit deliverables. Experience in working ...
839414212,https://www.linkedin.com/jobs/view/839414212/,TAX:: Manager:: Bangalore,A minimum of 8 to 10 years of Indirect Tax experience with a solid stint in Big 4 consulting firms. People management skills with demonstrated ability to build a transparent and...
864681390,https://www.linkedin.com/jobs/view/864681390/,KGS:: TAX :: Sr Associate:: Bangalore,Performing a detailed technical review of state and local indirect tax returns on engagements. Assisting with engagement workflow management and supervising tax consultants on ...
